id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,82,3,171,2024-09-14,1.01,4,149,32,VT-41540-V
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,Cpi Gestión Encuentra Tu Mansión,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,390,10,1,2013-07-02,0.01,5,94,0,VT32745V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,286,2,269,2024-08-31,1.68,1,306,37,Nº TURISMO VT36469V  CATEGORIA: standard
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,122,5,530,2024-09-01,3.31,6,79,55,VT-32757-V
169284,Apartment near downtown,806645,Maria Jesus,L'OLIVERETA,NOU MOLES,39.46759,-0.39067,Entire home/apt,49,2,160,2024-09-02,1.17,8,280,36,
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,180,3,8,2024-05-04,0.07,2,357,1,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,113,4,171,2024-09-15,1.20,6,39,31,
193326,"Hab. con balcón, cerca de la playa",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,49,1,340,2024-09-15,2.16,2,148,61,
225070,"Habitación cerca de la playa, El Cabanyal",937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,57,1,244,2024-09-17,1.57,2,145,45,
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,287,3,3,2022-12-06,0.02,2,361,0,
253764,Sea view apartment with terrace at Cabanyal beach,1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,225,3,63,2024-08-16,0.41,2,233,15,
260929,Queen size bed & private shower by Miguel Inn,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,49,2,141,2024-09-02,1.02,3,59,33,
260935,"Double room, shared bathroom, good water",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,42,2,471,2024-08-13,3.15,3,67,30,
265340,Design apartment in the center WIFI,1391644,Nina,L'EIXAMPLE,RUSSAFA,39.46232,-0.37508,Entire home/apt,90,14,94,2023-02-03,0.61,1,232,0,
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,405,3,133,2024-09-15,0.89,8,239,19,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38,2,0,,,1,305,0,
288057,Fast.E-360Mbs/Tram 245m/Carmen 390m/On-St parking,1497590,David,LA SAIDIA,MORVEDRE,39.48367,-0.37377,Entire home/apt,86,4,140,2024-09-01,1.11,3,291,20,VT-36795-V
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47328,-0.38588,Entire home/apt,115,14,200,2024-08-29,1.41,1,79,10,VT-36615-V
